CITY,COUNTRY,LATITUDE
Kuala Lumpur,Malaysia,3.14777
Singapore,Singapore,1.29016
Jakarta,Indonesia,-6.208417
Denpasar,Indonesia,-8.672177
Port Moresby,Papua New Guinea,-9.46707
Luanda,Angola,-8.82727
Windhoek,Namibia,-22.559559
Johannesburg,South Africa,-26.198595
Capetown,South Africa,-33.92711
Antananarivo,Madagascar,-18.910011
Port Louis,Mauritius,-20.165276
Bloemfontein,South Africa,-29.11345
Gaborone,Botswana,-24.658136
Harare,Zimbabwe,-17.827627
Perth,Australia,-31.95264
Darwin,Australia,-12.46106
Sydney,Australia,-33.8696
Brisbane,Australia,-27.47126
Adelaide,Australia,-34.9261
Melbourne,Australia,-37.81753
Hobart,Australia,-42.88164
Canberra,Australia,-35.30654
Cairns,New Zealand,-16.91959
Auckland,New Zealand,-36.84732
Wellington,New Zealand,-41.2851
Dunedin,New Zealand,-45.8744
Suva,Fiji,-18.14337
Port Vila,Vanuatu,-17.736492
Apia,Samoa,-13.832818
Bangkok,Thailand,13.75335
Phuket,Thailand,7.973533
Phnom Penh,Cambodia,11.55227
Ho Chi Minh City,Vietnam,10.77653
Manila,Philippines,14.582259
Bandar Seri Begawan,Brunei,4.8806815
Nairobi,Kenya,-1.2832533
Kampala,Uganda,0.3177137
Kigali,Rwanda,-1.9577537
Brazzaville,Congo,-4.2694407
Kinshasa,DR Congo,-4.3217053
Colombo,Sri Lanka,6.938747
